vine_id,from,to,length,to_shoot_id,spurs,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
3,1,2,300,,,,180,280,4,,,E,1,
3,2,3,120,,,,280,320,4,,,E,1,
3,3,4,90,1,,16,200,430,4,,,E,1,
3,4,5,60,2,,16,200,480,4,,,E,1,
3,5,6,70,3,,16,200,540,4,,,E,1,
3,6,7,60,4,,16,,630,4,,,E,1,
3,7,8,70,5,,16,,700,4,,,E,1,
3,8,9,100,,,16,200,800,4,,,E,1,
3,9,10,90,6,,16,180,900,4,,,E,1,
3,10,11,140,7,,16,180,1000,4,,,E,1,
3,11,12,150,8,,16,180,140,5,,,E,1,
3,12,13,100,9,,16,180,175,5,,,E,1,
3,13,14,30,10,,16,180,240,5,,,E,1,
3,14,15,90,11,,16,180,290,5,,,E,1,
3,15,16,40,12,,16,170,380,5,,,E,1,
3,16,17,100,13,,16,170,430,5,,,E,1,
3,17,18,70,14,,16,160,540,5,,,E,1,
3,18,19,60,15,,16,160,600,5,,,E,1,
3,19,20,60,16,,16,160,670,5,,,E,1,
3,20,21,20,17,,16,150,680,5,,,E,1,
3,21,22,60,18,,16,150,740,5,,,E,1,
3,22,23,130,19,,16,150,900,5,,,E,1,
3,24,1,90,,,,290,50,4,,1,,1,
3,24,25,190,,,,340,50,3,,,W,2,
3,25,26,200,,,,460,250,3,,,W,2,
3,26,27,110,20,,,580,270,3,,,W,2,
3,28,24,100,,,,180,0,3,,2,,2,
3,28,29,100,,,,100,50,4,,,E,3,
3,29,30,220,,,,50,120,3,,,W,3,
3,30,31,100,,,2,470,200,9,,,W,3,
3,31,32,40,,,2,480,200,9,,,W,3,
3,32,33,50,21,,2,450,260,9,,,W,3,
3,33,34,10,22,,2,450,260,9,,,W,3,
3,31,35,100,,,2,400,290,9,,,W,3,
3,35,36,120,,,2,300,320,9,,,W,3,
3,36,37,180,23,,2,150,390,9,,,W,3,
3,35,38,100,,,2,400,390,9,,,W,3,
3,38,39,110,,,2,320,420,9,,,W,3,
3,39,40,110,24,,2,180,330,9,,,W,3,
3,38,41,120,,,2,400,510,9,,,W,3,
3,41,42,80,,,2,300,530,9,,,W,3,
3,42,43,100,25,,2,300,180,9,,,W,3,
3,41,44,200,,,2,380,740,9,,,W,3,
3,44,45,60,,,2,290,780,9,,,W,3,
3,45,46,60,26,,2,260,820,9,,,W,3,
3,44,47,110,,,2,400,910,9,,,W,3,
3,47,48,90,,,2,240,940,9,,,W,3,
3,48,49,100,27,,2,150,940,9,,,W,3,
3,47,50,120,,,2,350,10,8,,,W,3,
3,50,51,90,,,2,300,50,8,,,W,3,
3,51,52,80,28,,2,230,140,8,,,W,3,
3,50,53,120,,,2,340,90,8,,,W,3,
3,53,54,80,,,2,350,180,8,,,W,3,
3,54,55,100,29,,2,310,180,8,,,W,3,
3,53,56,140,,,2,340,240,8,,,W,3,
3,56,57,90,,,2,370,370,8,,,W,3,
3,57,58,70,30,,2,340,400,8,,,W,3,
3,56,59,60,,,2,330,280,8,,,W,3,
3,59,60,60,,,2,290,420,8,,,W,3,
3,60,61,100,31,,2,170,420,8,,,W,3,
3,59,62,190,,,2,330,470,8,,,W,3,
3,62,63,110,,,2,260,660,8,,,W,3,
3,63,64,70,32,,2,180,660,8,,,W,3,
3,62,65,280,,,2,320,720,8,,,W,3,
